Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
1;201406;Standort1;direkt;KW;Kuwait;3
4;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201405;Standort1;direkt;MY;Malaysia;3
1;201406;Standort1;direkt;DE;Deutschland;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
40;201406;Standort1;direkt;QA;Qatar;3
10;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
7;201406;Standort1;direkt;DE;Deutschland;3
4;201407;Standort1;direkt;DE;Deutschland;3
14;201407;Standort1;direkt;DE;Deutschland;3
5;201407;Standort1;direkt;DE;Deutschland;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
7;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
10;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201406;Standort1;direkt;KW;Kuwait;3
5;201406;Standort1;direkt;TR;Türkei;3
3;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201407;Standort1;direkt;DE;Deutschland;3
4;201406;Standort1;direkt;TR;Türkei;3
2;201406;Standort1;direkt;GB;Vereinigtes Königreich;3
12;201407;Standort1;direkt;DE;Deutschland;3
1;201407;Standort1;direkt;DE;Deutschland;3
6;201408;Standort1;direkt;MY;Malaysia;3
20;201407;Standort1;direkt;TR;Türkei;3
2;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
8;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201407;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201408;Standort1;direkt;MY;Malaysia;3
1;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201407;Standort1;direkt;KW;Kuwait;3
5;201407;Standort1;direkt;KW;Kuwait;3
13;201408;Standort1;direkt;DE;Deutschland;3
4;201408;Standort1;direkt;DE;Deutschland;3
1;201408;Standort1;direkt;DE;Deutschland;3
53;201408;Standort1;direkt;KW;Kuwait;3
83;201408;Standort1;direkt;KW;Kuwait;3
2;201408;Standort1;direkt;MY;Malaysia;5
2;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201408;Standort1;direkt;KW;Kuwait;3
1;201409;Standort1;direkt;KW;Kuwait;3
5;201408;Standort1;direkt;DE;Deutschland;3
10;201408;Standort1;direkt;DE;Deutschland;3
